Date,1 Month,3 Month,6 Month,1 Year,3 Year,5 Year,10 Year
01/02/90,nan,7.83,7.89,7.81,7.9,7.87,7.94
01/03/90,nan,7.89,7.94,7.85,7.96,7.92,7.99
01/04/90,nan,7.84,7.9,7.82,7.93,7.91,7.98
01/05/90,nan,7.79,7.85,7.79,7.94,7.92,7.99
01/08/90,nan,7.79,7.88,7.81,7.95,7.92,8.02
01/09/90,nan,7.8,7.82,7.78,7.94,7.92,8.02
01/10/90,nan,7.75,7.78,7.77,7.95,7.92,8.03
01/11/90,nan,7.8,7.8,7.77,7.95,7.94,8.04
01/12/90,nan,7.74,7.81,7.76,7.98,7.99,8.1
01/16/90,nan,7.89,7.99,7.92,8.13,8.11,8.2
01/17/90,nan,7.97,7.97,7.91,8.11,8.11,8.19
01/18/90,nan,8.04,8.08,8.05,8.28,8.27,8.32
01/19/90,nan,8.0,8.01,8.0,8.23,8.2,8.26
01/22/90,nan,7.99,7.99,7.98,8.2,8.19,8.27
01/23/90,nan,7.93,7.97,7.97,8.2,8.18,8.26
01/24/90,nan,7.93,7.99,8.0,8.29,8.28,8.38
01/25/90,nan,7.95,8.01,8.03,8.32,8.31,8.42
01/26/90,nan,7.93,8.04,8.07,8.38,8.38,8.49
01/29/90,nan,8.0,8.09,8.08,8.39,8.39,8.5
01/30/90,nan,8.0,8.14,8.09,8.39,8.43,8.51
01/31/90,nan,8.0,8.13,8.08,8.36,8.35,8.43
02/01/90,nan,8.02,8.13,8.09,8.35,8.35,8.42
02/02/90,nan,8.07,8.17,8.13,8.43,8.42,8.5
02/05/90,nan,8.08,8.18,8.15,8.43,8.44,8.53
02/06/90,nan,8.09,8.17,8.15,8.43,8.49,8.57
02/07/90,nan,8.08,8.19,8.17,8.43,8.51,8.52
02/08/90,nan,8.08,8.18,8.13,8.39,8.45,8.49
02/09/90,nan,8.02,8.09,8.03,8.24,8.29,8.31
02/12/90,nan,7.99,8.11,8.06,8.32,8.37,8.4
02/13/90,nan,7.84,7.97,7.95,8.21,8.29,8.35
02/14/90,nan,7.87,8.0,8.03,8.27,8.34,8.36
02/15/90,nan,7.97,8.08,8.11,8.35,8.4,8.43
02/16/90,nan,7.94,8.07,8.09,8.34,8.41,8.42
02/20/90,nan,8.06,8.2,8.24,8.52,8.58,8.62
02/21/90,nan,8.01,8.19,8.22,8.52,8.6,8.62
02/22/90,nan,7.99,8.15,8.17,8.48,8.48,8.54
02/23/90,nan,7.93,8.09,8.11,8.45,8.47,8.53
02/26/90,nan,7.97,8.09,8.1,8.4,8.4,8.46
02/27/90,nan,7.99,8.1,8.06,8.34,8.34,8.41
02/28/90,nan,8.04,8.14,8.12,8.45,8.44,8.51
03/01/90,nan,8.08,8.19,8.21,8.53,8.53,8.59
03/02/90,nan,8.02,8.17,8.22,8.5,8.5,8.54
03/05/90,nan,8.09,8.27,8.31,8.59,8.58,8.65
03/06/90,nan,8.17,8.24,8.31,8.56,8.57,8.59
03/07/90,nan,8.18,8.22,8.29,8.55,8.56,8.58
03/08/90,nan,8.18,8.24,8.35,8.58,8.57,8.57
03/09/90,nan,8.26,8.33,8.46,8.71,8.68,8.65
03/12/90,nan,8.26,8.33,8.44,8.7,8.67,8.63
03/13/90,nan,8.26,8.34,8.48,8.77,8.75,8.73
03/14/90,nan,8.23,8.31,8.41,8.7,8.67,8.65
03/15/90,nan,8.21,8.32,8.41,8.7,8.69,8.66
03/16/90,nan,8.19,8.29,8.36,8.62,8.61,8.59
03/19/90,nan,8.22,8.32,8.38,8.66,8.65,8.59
03/20/90,nan,8.25,8.35,8.38,8.65,8.61,8.54
03/21/90,nan,8.23,8.34,8.39,8.66,8.62,8.55
03/22/90,nan,8.17,8.27,8.32,8.6,8.56,8.53
03/23/90,nan,8.15,8.26,8.29,8.59,8.54,8.52
03/26/90,nan,8.13,8.28,8.3,8.59,8.52,8.51
03/27/90,nan,8.17,8.3,8.35,8.6,8.55,8.52
03/28/90,nan,8.12,8.27,8.33,8.6,8.53,8.51
03/29/90,nan,8.1,8.28,8.36,8.65,8.6,8.6
03/30/90,nan,8.07,8.24,8.35,8.69,8.65,8.65
04/02/90,nan,8.05,8.23,8.34,8.67,8.65,8.65
04/03/90,nan,8.09,8.25,8.32,8.65,8.64,8.63
04/04/90,nan,8.01,8.17,8.27,8.59,8.56,8.55
04/05/90,nan,8.02,8.18,8.28,8.6,8.57,8.57
04/06/90,nan,8.02,8.16,8.26,8.58,8.55,8.56
04/09/90,nan,8.09,8.23,8.29,8.6,8.58,8.59
04/10/90,nan,8.05,8.21,8.29,8.59,8.58,8.6
04/11/90,nan,8.03,8.2,8.28,8.62,8.6,8.63
04/12/90,nan,8.02,8.2,8.29,8.63,8.62,8.64
04/16/90,nan,8.01,8.18,8.29,8.66,8.65,8.68
04/17/90,nan,8.03,8.23,8.38,8.75,8.73,8.77
04/18/90,nan,8.08,8.3,8.49,8.84,8.84,8.86
04/19/90,nan,8.06,8.28,8.46,8.86,8.84,8.87
04/20/90,nan,7.95,8.24,8.44,8.88,8.88,8.95
04/23/90,nan,8.0,8.31,8.5,8.91,8.92,8.98
04/24/90,nan,8.03,8.36,8.55,8.98,8.96,9.0
04/25/90,nan,8.06,8.4,8.57,9.01,9.0,9.01
04/26/90,nan,8.09,8.45,8.64,9.11,9.09,9.07
04/27/90,nan,8.05,8.38,8.57,9.07,9.06,9.06
04/30/90,nan,8.07,8.44,8.58,9.05,9.04,9.04
05/01/90,nan,8.19,8.49,8.56,9.09,9.08,9.08
05/02/90,nan,8.17,8.49,8.63,9.11,9.1,9.09
05/03/90,nan,8.15,8.45,8.62,9.05,9.04,9.04
05/04/90,nan,8.02,8.25,8.43,8.77,8.8,8.84
05/07/90,nan,8.09,8.26,8.44,8.82,8.83,8.87
05/08/90,nan,8.06,8.22,8.4,8.73,8.79,8.84
05/09/90,nan,8.01,8.2,8.4,8.79,8.87,8.88
05/10/90,nan,7.97,8.15,8.33,8.73,8.8,8.82
05/11/90,nan,7.88,8.04,8.21,8.58,8.64,8.64
05/14/90,nan,7.89,8.06,8.2,8.54,8.6,8.61
05/15/90,nan,7.91,8.09,8.23,8.58,8.64,8.65
05/16/90,nan,7.93,8.09,8.23,8.59,8.66,8.68
05/17/90,nan,7.93,8.1,8.24,8.6,8.69,8.69
05/18/90,nan,8.01,8.16,8.31,8.69,8.74,8.75
05/21/90,nan,8.02,8.18,8.3,8.66,8.74,8.74
05/22/90,nan,7.99,8.18,8.22,8.58,8.66,8.65
05/23/90,nan,7.91,8.11,8.17,8.55,8.61,8.61
